Province,District,Constituency,Winner,Candidate,Votes,Margin,Wikipedia
1,Bhojpur,Bhojpur 1,Maoist,"सुदन किराती",58685,0.040709,"https://en.wikipedia.org/wiki/Bhojpur_1_constituency"
1,Dhankuta,Dhankuta 1,UML,"राजेन्द्र कुमार राई",66727,0.020936,"https://en.wikipedia.org/wiki/Dhankuta_1_constituency"
1,Ilam,Ilam 1,UML,"महेश बस्नेत",57018,0.046722,"https://en.wikipedia.org/wiki/Ilam_1_constituency"
1,Ilam,Ilam 2,UML,"सुवास चन्द्र नेम्वाङ्ग",66185,0.001722,"https://en.wikipedia.org/wiki/Ilam_2_constituency"
1,Jhapa,Jhapa 1,NC,"विश्व प्रकाश शर्मा",77071,0.185219,"https://en.wikipedia.org/wiki/Jhapa_1_constituency"
1,Jhapa,Jhapa 2,UML,"देव राज घिमिरे",81721,0.027667,"https://en.wikipedia.org/wiki/Jhapa_2_constituency"
1,Jhapa,Jhapa 3,RPP,"राजेन्द्र प्रसाद लिङ्देन",84808,0.038628,"https://en.wikipedia.org/wiki/Jhapa_3_constituency"
1,Jhapa,Jhapa 4,UML,"लाल प्रसाद साँवा लिम्बू",74836,0.091761,"https://en.wikipedia.org/wiki/Jhapa_4_constituency"
1,Jhapa,Jhapa 5,UML,"के.पी शर्मा ओली",93870,0.304421,"https://en.wikipedia.org/wiki/Jhapa_5_constituency"
1,Khotang,Khotang 1,Maoist,"राम कुमार राई",64422,0.04143,"https://en.wikipedia.org/wiki/Khotang_1_constituency"
1,Morang,Morang 1,NC,"डिग बहादुर लिम्वु",70676,0.006084,"https://en.wikipedia.org/wiki/Morang_1_constituency"
1,Morang,Morang 2,UML,"ऋषिकेश पोखरेल",75666,0.015965,"https://en.wikipedia.org/wiki/Morang_2_constituency"
1,Morang,Morang 3,NC,"शुनिल कुमार शर्मा",92202,0.246589,"https://en.wikipedia.org/wiki/Morang_3_constituency"
1,Morang,Morang 4,Maoist,"अमन लाल मोदी",70283,0.087489,"https://en.wikipedia.org/wiki/Morang_4_constituency"
1,Morang,Morang 5,Independent,"योगेन्द्र मण्डल",67380,0.064322,"https://en.wikipedia.org/wiki/Morang_5_constituency"
1,Morang,Morang 6,NC,"डा शेखर कोइराला",80426,0.152662,"https://en.wikipedia.org/wiki/Morang_6_constituency"
1,Okhaldhunga,Okhaldhunga 1,NC,"राम हरि खतिवडा",62585,0.10894,"https://en.wikipedia.org/wiki/Okhaldhunga_1_constituency"
